city;longitude;latitude
Anchorage;-149.9003;61.2181
Astana;71.4304;51.1605
Athens;23.7275;37.9838
Auckland;174.7633;-36.8485
Baghdad;44.3661;33.3152
Bangkok;100.5018;13.7563
Baku;49.8920;40.3776
Berlin;13.4049;52.5200
Brasilia;-47.8825;-15.7942
Buenos Aires;-58.3816;-34.6037
Capetown;18.4241;-33.9249
Caracas;-66.9036;10.4806
Casablanca;-7.5898;33.5731
Chicago;-87.6298;41.8781
Dakar;-17.4439;14.7167
Darwin;130.8456;-12.4634
Delhi;77.1025;28.7041
Denver;-104.9903;39.7392
Dubai;55.2708;25.2048
Hongkong;114.1095;22.3964
Istanbul;28.9784;41.0082
Johannesburg;28.0473;-26.2041
Kairo;31.2357;30.0444
Kinshasa;15.2663;-4.4419
Kyiv;30.5234;50.4501
Kuala Lumpur;101.6869;3.1390
La Paz;-68.1193;-16.5000
Lagos;3.3792;6.5244
Lima;-77.0428;-12.0464
London;-0.1276;51.5074
Los Angeles;-118.2437;34.0522
Madrid;-3.7038;40.4168
Mexico City;-99.1332;19.4326
Moscow;37.6176;55.7558
Mumbai;72.8777;19.0760
Nairobi;36.8219;-1.2921
New Orleans;-90.0715;29.9511
New York;-74.006;40.7128
Osaka;135.5022;34.6937
Panama City;-79.5199;8.9824
Paris;2.3522;48.8566
Peking;116.4074;39.9042
Perth;115.8575;-31.9505
Pjöngjang;125.7625;39.0392
Rio de Janeiro;-43.1729;-22.9068
Rom;12.4964;41.9028
Santiago de Chile;-70.6483;-33.4489
Seoul;126.978;37.5665
Shanghai;121.4737;31.2304
Stockholm;18.0686;59.3293
St. Petersburg;30.3351;59.9343
Sydney;151.2093;-33.8688
Teheran;51.389;35.6895
Tokio;139.6917;35.6895
Toronto;-79.3832;43.6532
Tunis;10.1815;36.8065
Ulanbaatar;106.8832;47.8864
Vancouver;-123.1216;49.2827
Vienna;16.3738;48.2082
Wladiwostok;131.8854;43.1155
